code,description
A00,Cholera
A01,Typhoid and paratyphoid fevers
A010,Typhoid fever
A02,Other salmonella infections
A022,Localized salmonella infections
A03,Shigellosis
A04,Other bacterial intestinal infections
A047,Enterocolitis due to Clostridium difficile
A05,"Oth bacterial foodborne intoxications, NEC"
A06,Amebiasis
A068,Amebic infection of other sites
A07,Other protozoal intestinal diseases
A08,Viral and other specified intestinal infections
A081,Acute gastrent d/t Norwalk agent and oth small round viruses
A083,Other viral enteritis
A15,Respiratory tuberculosis
A17,Tuberculosis of nervous system
A178,Other tuberculosis of nervous system
A18,Tuberculosis of other organs
A180,Tuberculosis of bones and joints
A181,Tuberculosis of genitourinary system
A183,"Tuberculosis of intestines, peritoneum and mesenteric glands"
A185,Tuberculosis of eye
A188,Tuberculosis of other specified organs
A19,Miliary tuberculosis
A20,Plague
A21,Tularemia
A22,Anthrax
A23,Brucellosis
A24,Glanders and melioidosis
A25,Rat-bite fevers
A26,Erysipeloid
A27,Leptospirosis
A278,Other forms of leptospirosis
A28,"Other zoonotic bacterial diseases, not elsewhere classified"
A30,Leprosy [Hansen's disease]
A31,Infection due to other mycobacteria
A32,Listeriosis
A321,Listerial meningitis and meningoencephalitis
A328,Other forms of listeriosis
A36,Diphtheria
A368,Other diphtheria
A37,Whooping cough
A370,Whooping cough due to Bordetella pertussis
A371,Whooping cough due to Bordetella parapertussis
A378,Whooping cough due to other Bordetella species
A379,"Whooping cough, unspecified species"
A38,Scarlet fever
A39,Meningococcal infection
A395,Meningococcal heart disease
A398,Other meningococcal infections
A40,Streptococcal sepsis
A41,Other sepsis
A410,Sepsis due to Staphylococcus aureus
A415,Sepsis due to other Gram-negative organisms
A418,Other specified sepsis
A42,Actinomycosis
A428,Other forms of actinomycosis
A43,Nocardiosis
A44,Bartonellosis
A48,"Other bacterial diseases, not elsewhere classified"
A485,Other specified botulism
A49,Bacterial infection of unspecified site
A490,"Staphylococcal infection, unspecified site"
A50,Congenital syphilis
A500,"Early congenital syphilis, symptomatic"
A503,Late congenital syphilitic oculopathy
A504,Late congenital neurosyphilis [juvenile neurosyphilis]
A505,"Other late congenital syphilis, symptomatic"
A51,Early syphilis
A513,Secondary syphilis of skin and mucous membranes
A514,Other secondary syphilis
A52,Late syphilis
A520,Cardiovascular and cerebrovascular syphilis
A521,Symptomatic neurosyphilis
A527,Other symptomatic late syphilis
A53,Other and unspecified syphilis
A54,Gonococcal infection
A540,Gonocl infct of low GU tract w/o periureth or acc glnd abcs
A542,Gonococcal pelviperitonitis and oth gonococcal GU infection
A543,Gonococcal infection of eye
A544,Gonococcal infection of musculoskeletal system
A548,Other gonococcal infections
A56,Other sexually transmitted chlamydial diseases
A560,Chlamydial infection of lower genitourinary tract
A561,Chlamydial infection of pelviperitoneum and oth GU organs
A59,Trichomoniasis
A590,Urogenital trichomoniasis
A60,Anogenital herpesviral [herpes simplex] infections
A600,Herpesviral infection of genitalia and urogenital tract
A63,"Oth predominantly sexually transmitted diseases, NEC"
A66,Yaws
A67,Pinta [carate]
A68,Relapsing fevers
A69,Other spirochetal infections
A692,Lyme disease
A71,Trachoma
A74,Other diseases caused by chlamydiae
A748,Other chlamydial diseases
A75,Typhus fever
A77,Spotted fever [tick-borne rickettsioses]
A774,Ehrlichiosis
A79,Other rickettsioses
A798,Other specified rickettsioses
A80,Acute poliomyelitis
A803,"Acute paralytic poliomyelitis, other and unspecified"
A81,Atypical virus infections of central nervous system
A810,Creutzfeldt-Jakob disease
A818,Other atypical virus infections of central nervous system
A82,Rabies
A83,Mosquito-borne viral encephalitis
A84,Tick-borne viral encephalitis
A848,Other tick-borne viral encephalitis
A85,"Other viral encephalitis, not elsewhere classified"
A87,Viral meningitis
